Ano,Empresa,Emissão,Série,Cód. CETIP,Valor
2024,Be8 S.A,295ª,1-2,CRA000000000 CRA000000000,"R$ 200.000.000,00"
2024,Alcoeste Bioenergia Fernandópolis S.A,337ª,1,CRA00000000,"R$ 100.000.000,00"
2024,Agropecuária Maggi LTDA.,349ª,1,CRA024007VD,"R$ 500.000.000,00"
2024,Sorocaba Refrescos S.A.,342ª,1-2,CRA024007PT CRA024007PU,"R$ 285.000.000,00"
2024,Marfrig Global Foods S.A.,343ª,1,CRA024006Y4,"R$ 500.000.000,00"
2024,Adecoagro Vale do Ivinhema S.A,333ª,1-2-3,CRA024006Y1 CRA024006Y2 CRA024006Y3,"R$ 400.000.000,00"
2024,Belmiro Catelan,323ª,1,CRA024006N7,"R$ 102.423.000,00"
2024,Crialt - Comércio de Representações de Insumos Agrícolas LTDA,330ª,1-2-3,CRA024006N1 CRA024006N2 CRA024006N3,"R$ 30.000.000,00"
2024,FS Florestal S.A.,331ª,1-2,CRA0240066D CRA0240066E,"R$ 600.000.000,00"
2024,Camil Alimentos S.A.,329ª,1-2-3,CRA0240066A CRA0240066B CRA0240066C,"R$ 650.000.000,00"
2024,BRF S.A.,332ª,1-2-3,CRA0240066F CRA0240066G CRA0240066K,"R$ 2.000.000.000,00"
2024,Casa do Café Comércio e Representações de Produtos Agrícolas Ltda,322ª,1,CRA024005K3,"R$ 13.000.000,00"
2024,Natural One S.A.,321ª,1-2,CRA024005K1 CRA024005K2,"R$ 200.000.000,00"
2024,Elza Junqueira de Carvalho Dias,326ª,1,CRA0240053E,"R$ 40.000.000,00"
2024,Agrofito - Insumos Agrícolas LTDA,327ª,1-2-3-4,CRA024004MS CRA024004MT CRA024004MU CRA024004MV,"R$ 30.544.000,00"
2024,São Salvador Alimentos S.A.,325ª,1-2-3,CRA024004MP CRA024004MQ CRA024004MR,"R$ 330.000.000,00"
2024,Coplana Cooperativa Agroindustrial,320ª,1,CRA0240040H,"R$ 100.000.000,00"
2024,Lar Cooperativa Agroindustrial,319ª,1-2-3,CRA024003UX CRA024003UY CRA024003UZ,"R$ 701.121.000,00"
2024,Sinagro Produtos Agropecuários S.A,305ª,1-2,CRA024003PD CRA024003PE,"R$ 150.000.000,00"
2024,Terra Forte Empreendimentos e Participações S.A.,312ª,1-2,CRA024003E9 CRA024003EA,"R$ 370.000.000,00"
2024,Usina Santa Fé S.A.,313ª,1,CRA024002MM,"R$ 170.000.000,00"
2024,Marfrig Global Foods S.A.,318ª,1-2-3,CRA024002MJ CRA024002MK CRA024002ML,"R$ 1.500.000.000,00"
2024,JF Citrus Agropecuária S.A.,315ª,1-2,CRA024002MH CRA024002MI,"R$ 250.000.000,00"
2024,Primo Tedesco S.A.,301ª,1-2,CRA024001UP CRA024001UQ,"R$ 80.000.000,00"
2024,Enebra Brasil Energia LTDA.,311ª,1,CRA0240018H,"R$ 55.000.000,00"
2024,JSL S.A.,309ª,1-2-3,CRA024001P5 CRA024001P6 CRA024001P7,"R$ 1.750.000.000,00"
2024,FS Indústria De Biocombustíveis Ltda,310ª,1-2-3-4,CRA024000B6 CRA024000B7 CRA024000B8 CRA024000B9,"R$ 868.000.000,00"
2023,Dexco S.A,308ª,1,CRA02300W3L,"R$ 375.000.000,00"
2023,TBA Participações Ltda,268ª,1-2,CRA02300V6A CRA02300V6B,"R$ 350.000.000,00"
2023,Yara Brasil Fertilizantes S.A.,272ª,1-2-3,CRA02300UK1 CRA02300UK2 CRA02300UK3,"R$ 59.493.906,00"
2023,Cedente: Indústria de Rações Patense Ltda,298ª,1,CRA02300UEH,"R$ 315.000.000,00"
2023,Posto Monte Carlo Cedral KM 426 Ltda,284ª,1,CRA02300TXU,"R$ 40.000.000,00"
2023,Banco Votorantim,304ª,1-2-3-4-5,CRA02300UEJ CRA02300UEK CRA02300UEL CRA02300UEM CRA02300UEN,"R$ 460.000.000,00"
2023,Usina São João,302ª,1-2,CRA02300SUX CRA02300SUY,"R$ 120.000.000,00"
2023,Pantanal Agrícola S.A III,306ª,1-2,CRA02300UV7 CRA02300UV8,"R$ 60.000.000,00"
2023,Superfrio Armazéns Gerais S.A.,300ª,1-2,CRA02300RMJ CRA02300RMK,"R$ 95.911.155,00"
2023,Ferrari Agroindustria S.A.,299ª,1-2-3,CRA02300SV3 CRA02300SV4 CRA02300SV6,"R$ 235.161.000,00"
2023,Videplast Ind. de Embalagens Ltda,279ª,1-2,CRA02300RS1 CRA02300RS2,"R$ 200.000.000,00"
2023,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",296ª,1-2-3,CRA02300SUZ CRA02300SV0 CRA02300SV1,"R$ 700.000.000,00"
2023,Camil Alimentos S.A,292ª,1-2-3,CRA02300RS5 CRA02300S35 CRA02300S36,"R$ 650.000.000,00"
2023,FS Agrisolutions Indústria de Biocombustíveis LTDA,297ª,1-2-3-4,CRA02300S37 CRA02300S8P CRA02300SPD CRA02300SPE,"R$ 1.000.000.000,00"
